name,status,update,version,update_version,auto_update,requires,requires_php
advanced-custom-fields,active-network,available,6.3.6.1,6.8.7,off,6.2,7.4
sg-ai-studio,active,none,1.2.7,,off,,
akismet,active-network,none,5.7,,off,5.8,7.2
bootstrap-3-shortcodes,active,none,3.3.12,,off,,
breeze,inactive,none,2.5.13,,off,,
category-posts-in-custom-menu,active,none,3.0.6,,off,5.4,7.4
cmb2,active,none,2.12.0,,off,,
constant-contact-forms,active,unavailable,2.13.0,2.21.0,off,6.4.0,8.1
custom-field-suite,active,none,2.6.7,,off,,
custom-fonts,active,none,2.1.17,,off,,
custom-post-type-ui,active,none,1.19.3,,off,6.6,7.4
duplicate-page,active,none,4.5.9,,off,,
olympus-google-fonts,active,available,4.1.3,4.2.1,off,4.0,
google-analytics-for-wordpress,active,none,11.1.2,,off,5.6.0,7.2
image-placeholder,active,none,1.0,,off,,
scripts-n-styles,active,none,3.5.8,,off,,
sg-security,active-network,none,1.6.5,,off,,
show-current-template,active,none,0.5.4,,off,5.9,7.4
simple-301-redirects,active,none,2.1.0,,off,,
sg-cachepress,active-network,none,7.8.1,,off,,
template-for-custom-post-types,active,none,1.0.4,,off,,
widget-context,active,none,1.4.0,,off,,
wordpress-importer,active,none,0.9.5,,off,5.2,7.2
wp-editor,active,none,1.2.9.3,,off,3.9,
